x-coordinate,y-coordinate,Similarity_score
0,1,0.9334969686710766
0,2,0.7749997229306376
0,3,0.9933868822328612
0,4,0.8583330458965867
0,5,0.93887730999356
0,6,0.9687293827885106
0,7,0.7580505684317507
0,8,0.9265851419434336
0,9,0.925601108255635
0,10,0.9116249471820496
0,11,0.8039043293666099
0,12,0.9846572109028582
0,13,0.7610719866376922
0,14,0.8307269397305881
0,15,0.9509894342776319
0,16,0.837520855946636
0,17,0.9045972878205246
0,18,0.9974687956212525
0,19,0.7841799715043486
0,20,0.8593473861463415
0,21,0.9139521174849259
0,22,0.9640603520946218
0,23,0.9685576574590118
0,24,0.910105984388611
0,25,0.979180442901063
0,26,0.918759644015096
0,27,0.9728314886035925
0,28,0.8514292459395975
0,29,0.9243267140154393
0,30,0.8664312837552621
0,31,0.7742764336788154
0,32,0.9319419035199641
0,33,0.5498020219581898
0,34,0.8043943817561945
0,35,0.8473570803346394
0,36,0.888297980541849
0,37,0.5787812147944957
0,38,0.9777170430570237
0,39,0.7590535649255687
0,40,0.9683086592112253
0,41,0.8011495425605862
0,42,0.9088904940295575
0,43,0.9103293810581269
0,44,0.8388758235390126
0,45,0.8038086541102284
0,46,0.5752613923404007
0,47,0.9294025068414439
0,48,0.845992954199905
0,49,0.9443281051141472
0,50,0.47562232184443826
0,51,0.8760672037391697
0,52,0.8190634100997826
0,53,0.9032731597752003
0,54,0.9602719988428714
0,55,0.9879154193443642
0,56,0.708761958210624
0,57,0.8871681059108552
0,58,0.983033381008792
0,59,0.9468934283933811
0,60,0.944127004063835
0,61,0.9256043173229898
0,62,0.9548434490921782
0,63,0.936527924994878
0,64,0.7473303898984434
0,65,0.8798553941972007
0,66,0.8490227406599492
0,67,0.9827727431710866
0,68,0.9247948246134261
0,69,0.855236582112189
0,70,0.9392882821937765
0,71,0.9286296645441874
0,72,0.7253054859573435
0,73,0.9776129216584823
0,74,0.8630362526240871
0,75,0.8061495556286641
0,76,0.8458368219982916
0,77,0.9028773097470123
0,78,0.9412821108932512
